Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Series A - Long-Term Stock Exchange,https://www.crunchbase.com/funding_round/long-term-stock-exchange-series-a--b1bd9144,"New York, New York, United States, North America",Long-Term Stock Exchange,https://www.crunchbase.com/organization/long-term-stock-exchange,Series A,18730000,USD,18730000,2016-07-08,Yes,$10M to $50M,https://www.ltse.com,Women Led,1,5
Series A - Ontop,https://www.crunchbase.com/funding_round/top-e6ff-series-a--6d05a1b4,"Miami, Florida, United States, North America",Ontop,https://www.crunchbase.com/organization/top-e6ff,Series A,9000000,USD,9000000,2022-12-31,Yes,$1M to $10M,https://www.getontop.com,Hispanic / Latine Founded,,6
"Series A - CoinAlpha, Inc.",https://www.crunchbase.com/funding_round/hummingbot-series-a--5e727ec0,"Mountain View, California, United States, North America","CoinAlpha, Inc.",https://www.crunchbase.com/organization/hummingbot,Series A,1600000,USD,1600000,2023-04-03,Yes,$1M to $10M,http://coinalpha.com,Women Founded,1,2
Series A - Stake,https://www.crunchbase.com/funding_round/stake-2f06-series-a--7fe3961c,"New York, New York, United States, North America",Stake,https://www.crunchbase.com/organization/stake-2f06,Series A,12000000,USD,12000000,2022-06-30,Yes,$1M to $10M,https://www.stake.rent,,5,10
Series A - Mercantile,https://www.crunchbase.com/funding_round/mercantile-series-a--1723d19e,"New York, New York, United States, North America",Mercantile,https://www.crunchbase.com/organization/mercantile,Series A,15000000,USD,15000000,2022-08-05,Yes,,https://www.getmercantile.com,,1,6
Series A - Carpay,https://www.crunchbase.com/funding_round/carpay-series-a--b03391b0,"Santa Monica, California, United States, North America",Carpay,https://www.crunchbase.com/organization/carpay,Series A,6500000,USD,6500000,2021-01-07,Yes,$1M to $10M,http://carpay.com,,2,5
Series A - RealBlocks,https://www.crunchbase.com/funding_round/realblocks-series-a--ade6185c,"New York, New York, United States, North America",RealBlocks,https://www.crunchbase.com/organization/realblocks,Series A,10000000,USD,10000000,2023-05-31,Yes,$1M to $10M,http://realblocks.com,,2,2
Series A - Bridgewise,https://www.crunchbase.com/funding_round/deshe-series-a--08058781,"New York, New York, United States, North America",Bridgewise,https://www.crunchbase.com/organization/deshe,Series A,21000000,USD,21000000,2024-04-16,Yes,,https://www.bridgewise.com/,,2,3
Series A - Banyan,https://www.crunchbase.com/funding_round/banyan-4001-series-a--3dfc21b8,"Holmdel, New Jersey, United States, North America",Banyan,https://www.crunchbase.com/organization/banyan-4001,Series A,28000000,USD,28000000,2022-10-20,Yes,$1M to $10M,https://www.banyan.com,,3,10
Series A - Monnai,https://www.crunchbase.com/funding_round/monnai-series-a--cef9944c,"San Francisco, California, United States, North America",Monnai,https://www.crunchbase.com/organization/monnai,Series A,6500000,USD,6500000,2023-03-09,Yes,$1M to $10M,https://www.monnai.com,,2,4
Series A - CleanCapital,https://www.crunchbase.com/funding_round/cleancapital-series-a--d674ccc1,"New York, New York, United States, North America",CleanCapital,https://www.crunchbase.com/organization/cleancapital,Series A,3700000,USD,3700000,2017-06-21,Yes,,http://www.cleancapital.com,,1,8
