Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Series A - Alife,https://www.crunchbase.com/funding_round/alife-health-series-a--5e61f75e,"San Francisco, California, United States, North America",Alife,https://www.crunchbase.com/organization/alife-health,Series A,22000000,USD,22000000.0,3/22/2022,,3.0,4.0,"Farvatn Venture, Lux Capital, Maveron, Union Square Ventures"
Series A - Pinecone,https://www.crunchbase.com/funding_round/pinecone-series-a--c1d93edc,"New York, New York, United States, North America",Pinecone,https://www.crunchbase.com/organization/pinecone,Series A,28000000,USD,28000000.0,3/29/2022,,3.0,3.0,"Menlo Ventures, Tiger Global Management, Wing Venture Capital"
Series A - Black Crow AI,https://www.crunchbase.com/funding_round/black-crow-ai-series-a--853fd225,"New York, New York, United States, North America",Black Crow AI,https://www.crunchbase.com/organization/black-crow-ai,Series A,25000000,USD,25000000.0,3/31/2022,,1.0,11.0,"Bloomberg Beta, Good Friends, Habitat Partners, Imaginary Ventures, Interlock Partners, Interplay, Left Lane Capital, Primary Venture Partners, Tapestry VC, Vast Ventures, William Ackman"
Series A - MoBagel,https://www.crunchbase.com/funding_round/mobagel-series-a--404c26d4,"Santa Clara, California, United States, North America",MoBagel,https://www.crunchbase.com/organization/mobagel,Series A,12000000,USD,12000000.0,4/1/2022,"East Asian Founded, South Asian Founded, Women Founded",1.0,7.0,"Brightway Future Capital, CDIB Capital Group, KYMCO Capital, SparkLabs Taiwan, UpHonest Capital, USI Capital (ASE Group), Wistron Corporation"
Series A - Docyt,https://www.crunchbase.com/funding_round/docyt-series-a--f5ee7171,"Santa Clara, California, United States, North America",Docyt,https://www.crunchbase.com/organization/docyt,Series A,11500000,USD,11500000.0,4/6/2022,,2.0,4.0,"First Rays Venture Partners, lobby capital, Morado Ventures, Page One Ventures"
Series A - Kumo.AI,https://www.crunchbase.com/funding_round/kumo-ai-series-a--4a507216,"Mountain View, California, United States, North America",Kumo.AI,https://www.crunchbase.com/organization/kumo-ai,Series A,18500000,USD,18500000.0,4/7/2022,Women Founded,,12.0,"A.Capital Ventures, Cory Scott, David Chaiken, Greg Greeley, Igor Perisic, Li Fan, Rob Eldridge, Ronald Conway, Sequoia Capital, Sridhar Ramaswamy, SV Angel, Tristan Handy"
Series A - Mirage,https://www.crunchbase.com/funding_round/captions-series-a--fd2753ad,"New York, New York, United States, North America",Mirage,https://www.crunchbase.com/organization/captions,Series A,11000000,USD,11000000.0,4/8/2022,,3.0,6.0,"Adjacent, Andreessen Horowitz, Chapter One, Ludlow Ventures, Sequoia Capital, The Twenty Minute VC"
Series A - Viam,https://www.crunchbase.com/funding_round/viam-5684-series-a--e036b1c5,"New York, New York, United States, North America",Viam,https://www.crunchbase.com/organization/viam-5684,Series A,30000000,USD,30000000.0,4/11/2022,,2.0,5.0,"12 West Capital, Battery Ventures, Schox Venture Capital, Tiger Global Management, Union Square Ventures"
Series A - AIxMed,https://www.crunchbase.com/funding_round/aixmed-series-a--2d3fc17b,"Santa Clara, California, United States, North America",AIxMed,https://www.crunchbase.com/organization/aixmed,Series A,499999,USD,499999.0,4/15/2022,,,1.0,Taiwania Capital Management Corporation
Series A - Aporia,,"San Jose, California, United States, North America",Aporia,,Series A,"$25,000,000",,,02/22/2022,—,2,5,"Samsung NEXT, Tal Ventures, Tiger Global Management, TLV Partners, Vertex Ventures"
